ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime,ttcLidar,kptMatches,ttcCamera
0,SHITOMASI,1723,12.1173,BRISK,18.4176
1,SHITOMASI,1759,11.7573,BRISK,18.0711,BF,KNN,577,78.2142,12.7629,50,12.8228
2,SHITOMASI,1820,12.2644,BRISK,19.179,BF,KNN,568,82.9971,12.4603,50,12.6968
3,SHITOMASI,1850,12.4103,BRISK,18.5076,BF,KNN,618,88.7109,16.6022,42,14.4793
4,SHITOMASI,1828,16.9784,BRISK,19.2649,BF,KNN,589,90.4406,12.4855,53,12.7779
5,SHITOMASI,1806,12.8109,BRISK,18.1102,BF,KNN,610,85.0982,12.1873,52,12.2694
6,SHITOMASI,1877,12.489,BRISK,18.9418,BF,KNN,598,85.2777,7.73469,48,14.0207
7,SHITOMASI,1894,12.4216,BRISK,18.9343,BF,KNN,580,87.8452,34.3548,58,12.7924
8,SHITOMASI,1889,12.034,BRISK,18.8167,BF,KNN,613,91.6072,17.4767,48,13.2285
9,SHITOMASI,1917,11.9646,BRISK,19.2152,BF,KNN,595,90.5752,15.8894,53,11.7376
10,SHITOMASI,1874,12.2748,BRISK,18.4068,BF,KNN,601,89.9118,13.7297,53,12.0439
11,SHITOMASI,1912,11.9501,BRISK,19.7097,BF,KNN,615,93.6046,10.4914,51,10.9042
12,SHITOMASI,1930,12.2674,BRISK,19.2206,BF,KNN,621,92.3609,10.2436,63,11.8481
13,SHITOMASI,1881,11.9864,BRISK,19.7143,BF,KNN,636,95.0194,9.22441,55,13.0323
14,SHITOMASI,1886,12.0677,BRISK,19.5098,BF,KNN,646,91.3817,11.1422,58,11.8438
15,SHITOMASI,1957,12.4759,BRISK,19.5124,BF,KNN,656,94.6022,8.00343,55,9.94433
16,SHITOMASI,1888,12.3817,BRISK,18.7571,BF,KNN,638,94.7274,8.70371,48,10.6857
17,SHITOMASI,1919,12.4456,BRISK,19.6216,BF,KNN,697,95.8721,10.45,54,11.3134
